iter	RMSE
0	55.85327062
1	49.99351323
2	44.83538723
3	40.22062194
4	36.11562875
5	32.45656539
6	29.22208937
7	26.32116188
8	23.7569423
9	21.46825678
10	19.46324708
11	17.67346176
12	16.07016963
13	14.66811075
14	13.41972535
15	12.28125309
16	11.30312347
17	10.43788336
18	9.689317692
19	9.007356898
20	8.419211944
21	7.887178926
22	7.415530169
23	6.998866693
24	6.655301481
25	6.335734577
26	6.060989124
27	5.814104452
28	5.617667528
29	5.438160943
30	5.279240478
31	5.139714865
32	5.013630669
33	4.908521487
34	4.816337448
35	4.742437274
36	4.675461511
37	4.618465393
38	4.550887023
39	4.506591251
40	4.464227857
41	4.414287593
42	4.371702503
43	4.338556007
44	4.311243515
45	4.286031179
46	4.258533744
47	4.230241178
48	4.212643816
49	4.193587848
50	4.179833298
51	4.165177091
52	4.148647968
53	4.134097798
54	4.118857371
55	4.106676998
56	4.095652354
57	4.08254837
58	4.071221037
59	4.059071065
60	4.052388463
61	4.046997592
62	4.035610916
63	4.027269356
64	4.019457193
65	4.011119857
66	4.002107405
67	3.993717285
68	3.988362162
69	3.981001812
70	3.973305759
71	3.967472417
72	3.961630073
73	3.955627269
74	3.94958726
75	3.943735053
76	3.93866128
77	3.929646736
78	3.925266639
79	3.918418412
80	3.913953524
81	3.910792772
82	3.906262061
83	3.901091588
84	3.896451826
85	3.891797464
86	3.888343896
87	3.885409016
88	3.879721954
89	3.874986373
90	3.869720733
91	3.866535059
92	3.863776194
93	3.861008825
94	3.857873655
95	3.853298306
96	3.850171677
97	3.846034373
98	3.842699126
99	3.839021876
100	3.83538099
101	3.830751888
102	3.826828316
103	3.823562888
104	3.820851
105	3.817179477
106	3.815563619
107	3.812649898
108	3.810606039
109	3.806609173
110	3.803546757
111	3.801265536
112	3.798426554
113	3.795326314
114	3.792018695
115	3.78802327
116	3.785841729
117	3.783235069
118	3.780969497
119	3.778349664
120	3.775108463
121	3.77253195
122	3.770719807
123	3.767522278
124	3.765774135
125	3.763496219
126	3.761422502
127	3.759426165
128	3.757735564
129	3.756030322
130	3.754052077
131	3.751487445
132	3.748747232
133	3.746675408
134	3.744998062
135	3.742245114
136	3.740756331
137	3.739211626
138	3.736854935
139	3.735404077
140	3.733607154
141	3.731963731
142	3.730169909
143	3.727792477
144	3.725909755
145	3.723368847
146	3.721441561
147	3.720177897
148	3.718202624
149	3.717061319
150	3.715491081
151	3.71330922
152	3.711937812
153	3.710447583
154	3.708188654
155	3.70678481
156	3.705444898
157	3.703563163
158	3.702320665
159	3.700586275
160	3.698997819
161	3.697819485
162	3.696466414
163	3.694880615
164	3.693282933
165	3.692213567
166	3.689923156
167	3.688954586
168	3.687030631
169	3.686129962
170	3.684873119
171	3.683123645
172	3.682421483
173	3.68055824
174	3.679312855
175	3.677520027
176	3.675993477
177	3.674804629
178	3.672846777
179	3.671609852
180	3.670176761
181	3.668616075
182	3.667561399
183	3.666627231
184	3.665811895
185	3.663719911
186	3.662506783
187	3.66148206
188	3.660077171
189	3.659056602
190	3.657468202
191	3.655974856
192	3.65517987
193	3.653971892
194	3.652447123
195	3.65107923
196	3.649961469
197	3.649015998
198	3.647958785
199	3.646424262
200	3.645852268
201	3.644482308
202	3.643524529
203	3.642384274
204	3.641240905
205	3.640394661
206	3.639241361
207	3.638395442
208	3.637929331
209	3.636960876
210	3.636345262
211	3.634439293
212	3.633696632
213	3.63262295
214	3.631785912
215	3.6301183
216	3.629486955
217	3.628072616
218	3.627179235
219	3.626628246
220	3.625706821
221	3.624751357
222	3.623894768
223	3.622786474
224	3.621961232
225	3.62116949
226	3.619977451
227	3.619544106
228	3.618769633
229	3.617477309
230	3.616793746
231	3.616140161
232	3.615427633
233	3.614764426
234	3.613577399
235	3.612556324
236	3.611517379
237	3.610756592
238	3.610172349
239	3.609292728
240	3.608843213
241	3.607588127
242	3.606511879
243	3.605742325
244	3.605376137
245	3.604085881
246	3.603404731
247	3.602799771
248	3.602156611
249	3.60131879
250	3.600018251
251	3.599489649
252	3.59849497
253	3.597653668
254	3.597064332
255	3.595604575
256	3.594760673
257	3.594025172
258	3.593021167
259	3.592325095
260	3.591598579
261	3.590905904
262	3.590328949
263	3.58934563
264	3.587997072
265	3.58757397
266	3.586757629
267	3.58602807
268	3.585552565
269	3.584372635
270	3.583843098
271	3.582845027
272	3.582229359
273	3.581456645
274	3.580801204
275	3.580344081
276	3.579598352
277	3.578814753
278	3.57798404
279	3.577462045
280	3.577080996
281	3.576638166
282	3.576188315
283	3.575679126
284	3.575188327
285	3.574225319
286	3.573375273
287	3.572769946
288	3.572426634
289	3.571935489
290	3.571371365
291	3.570678748
292	3.570012318
293	3.569728465
294	3.568867657
295	3.568458203
296	3.567835108
297	3.567307506
298	3.566775856
299	3.565799226
300	3.565023496
301	3.564391213
302	3.563588346
303	3.563143155
304	3.562440397
305	3.561920088
306	3.561424742
307	3.561116099
308	3.560759411
309	3.560207799
310	3.559741579
311	3.55937188
312	3.559037596
313	3.558526748
314	3.558033048
315	3.557547286
316	3.557134513
317	3.55655997
318	3.556078419
319	3.555439292
320	3.555079055
321	3.55453825
322	3.553855082
323	3.553450696
324	3.552647624
325	3.552001569
326	3.551685283
327	3.551267394
328	3.550448784
329	3.550014754
330	3.549726723
331	3.549133175
332	3.548724026
333	3.547895932
334	3.547317804
335	3.546903903
336	3.546050939
337	3.545245019
338	3.544578904
339	3.543928966
340	3.54316867
341	3.542839541
342	3.542436549
343	3.541609465
344	3.541006364
345	3.540625745
346	3.540140674
347	3.539643215
348	3.538976008
349	3.538271939
350	3.537793194
351	3.536939846
352	3.536291598
