iter	Passed	Remaining
0	37	37007
1	75	37916
2	116	38804
3	154	38380
4	186	37063
5	217	35963
6	248	35253
7	278	34584
8	309	34078
9	339	33627
10	368	33160
11	397	32742
12	431	32783
13	461	32499
14	491	32268
15	521	32059
16	550	31846
17	578	31582
18	607	31352
19	638	31269
20	666	31083
21	702	31208
22	734	31186
23	765	31136
24	798	31128
25	828	31034
26	862	31082
27	897	31154
28	926	31024
29	958	30984
30	987	30873
31	1015	30731
32	1047	30688
33	1075	30568
34	1107	30537
35	1137	30467
36	1165	30344
37	1194	30238
38	1229	30290
39	1259	30222
40	1287	30107
41	1318	30083
42	1349	30031
43	1381	30013
44	1415	30032
45	1446	29989
46	1476	29948
47	1511	29977
48	1540	29891
49	1566	29762
50	1596	29705
51	1625	29638
52	1653	29545
53	1680	29440
54	1709	29371
55	1736	29273
56	1763	29167
57	1789	29061
58	1818	28999
59	1848	28962
60	1886	29032
61	1915	28981
62	1956	29095
63	1995	29180
64	2027	29158
65	2055	29081
66	2086	29052
67	2114	28985
68	2139	28867
69	2168	28804
70	2205	28851
71	2239	28860
72	2280	28959
73	2318	29009
74	2350	28994
75	2389	29050
76	2421	29022
77	2458	29059
78	2492	29053
79	2530	29104
80	2566	29120
81	2598	29094
82	2640	29173
83	2681	29239
84	2712	29196
85	2746	29185
86	2780	29176
87	2815	29178
88	2850	29176
89	2888	29203
90	2929	29264
91	2963	29244
92	2998	29244
93	3032	29227
94	3065	29204
95	3104	29236
96	3136	29199
97	3171	29187
98	3208	29196
99	3244	29198
100	3284	29235
101	3323	29261
102	3360	29263
103	3394	29245
104	3434	29278
105	3470	29268
106	3499	29208
107	3533	29181
108	3564	29138
109	3601	29142
110	3634	29107
111	3665	29059
112	3706	29097
113	3742	29083
114	3781	29100
115	3818	29102
116	3848	29045
117	3886	29049
118	3914	28977
119	3946	28941
120	3975	28880
121	4002	28802
122	4028	28720
123	4059	28677
124	4083	28584
125	4108	28498
126	4141	28469
127	4170	28408
128	4194	28319
129	4218	28233
130	4244	28159
131	4271	28091
132	4301	28041
133	4330	27984
134	4356	27915
135	4386	27870
136	4415	27812
137	4439	27727
138	4466	27666
139	4490	27582
140	4516	27518
141	4540	27436
142	4568	27381
143	4602	27358
144	4628	27289
145	4656	27235
146	4686	27192
147	4710	27115
148	4745	27103
149	4777	27070
150	4804	27014
151	4836	26982
152	4868	26951
153	4899	26916
154	4929	26876
155	4959	26830
156	4982	26752
157	5012	26710
158	5041	26666
159	5065	26594
160	5091	26533
161	5118	26479
162	5146	26426
163	5172	26367
164	5203	26332
165	5231	26284
166	5259	26235
167	5281	26158
168	5312	26121
169	5339	26067
170	5369	26028
171	5404	26018
172	5428	25951
173	5458	25912
174	5484	25853
175	5512	25807
176	5539	25756
177	5567	25710
178	5599	25680
179	5624	25622
180	5649	25563
181	5676	25512
182	5704	25465
183	5731	25417
184	5754	25350
185	5784	25313
186	5810	25259
187	5837	25211
188	5868	25183
189	5901	25160
190	5941	25166
191	5976	25151
192	6002	25098
193	6042	25103
194	6075	25082
195	6114	25083
196	6155	25090
197	6192	25081
198	6237	25105
199	6273	25093
200	6303	25057
201	6339	25043
202	6370	25011
203	6403	24984
204	6446	24997
205	6480	24977
206	6519	24977
207	6549	24938
208	6581	24910
209	6626	24926
210	6651	24872
211	6681	24836
212	6707	24784
213	6737	24745
214	6770	24719
215	6808	24713
216	6839	24678
217	6871	24647
218	6907	24633
219	6941	24610
220	6981	24609
221	7018	24598
222	7055	24584
223	7094	24577
224	7129	24557
225	7161	24526
226	7196	24505
227	7223	24459
228	7259	24443
229	7299	24436
230	7339	24431
231	7372	24405
232	7409	24390
233	7447	24378
234	7483	24362
235	7521	24350
236	7561	24344
237	7596	24322
238	7627	24285
239	7666	24277
240	7695	24236
241	7733	24223
242	7775	24221
243	7806	24186
244	7839	24157
245	7875	24140
246	7911	24119
247	7944	24089
248	7976	24057
249	8016	24048
250	8052	24030
251	8090	24014
252	8122	23982
253	8158	23962
254	8189	23926
255	8227	23911
256	8265	23896
257	8293	23852
258	8322	23811
259	8350	23767
260	8377	23721
261	8407	23683
262	8436	23641
263	8466	23604
264	8494	23560
265	8516	23500
266	8546	23463
267	8573	23417
268	8602	23377
269	8633	23343
270	8662	23301
271	8691	23262
272	8717	23216
273	8744	23169
274	8768	23115
275	8794	23070
276	8830	23048
277	8861	23013
278	8895	22988
279	8925	22951
280	8957	22919
281	8981	22867
282	9005	22815
283	9028	22762
284	9053	22714
285	9082	22675
286	9112	22638
287	9142	22601
288	9166	22552
289	9193	22508
290	9221	22468
291	9250	22429
292	9276	22384
293	9301	22335
294	9334	22307
295	9356	22254
296	9385	22216
297	9414	22178
298	9443	22140
299	9470	22098
300	9503	22068
301	9530	22028
302	9560	21992
303	9587	21950
304	9615	21910
305	9643	21870
306	9672	21834
307	9701	21796
308	9725	21748
309	9750	21701
310	9774	21655
311	9796	21603
312	9823	21561
313	9850	21520
314	9880	21486
315	9911	21452
316	9936	21408
317	9968	21378
318	10001	21351
319	10040	21335
320	10076	21315
321	10107	21282
322	10143	21260
323	10166	21211
324	10193	21170
325	10220	21130
326	10249	21094
327	10273	21049
328	10302	21011
329	10328	20970
330	10352	20923
331	10376	20877
332	10403	20839
333	10434	20807
334	10464	20771
335	10490	20731
336	10517	20692
337	10549	20662
338	10579	20627
339	10608	20592
340	10638	20559
341	10666	20521
342	10693	20482
343	10723	20449
344	10752	20414
345	10779	20374
346	10807	20337
347	10832	20296
348	10866	20270
349	10899	20241
350	10927	20205
351	10959	20175
352	10993	20149
353	11022	20114
354	11055	20087
355	11083	20049
356	11115	20021
357	11151	19998
358	11189	19978
359	11218	19943
360	11252	19918
361	11288	19894
362	11322	19868
363	11355	19841
364	11388	19812
365	11423	19787
366	11454	19755
367	11487	19728
368	11517	19694
369	11544	19657
370	11574	19624
371	11611	19602
372	11647	19578
373	11677	19545
374	11710	19517
375	11740	19484
376	11769	19448
377	11803	19423
378	11834	19391
379	11868	19364
380	11905	19342
381	11942	19320
382	11979	19298
383	12010	19266
384	12041	19235
385	12069	19198
386	12096	19159
387	12121	19119
388	12151	19086
389	12175	19044
390	12204	19009
391	12227	18965
392	12260	18936
393	12288	18900
394	12312	18857
395	12335	18814
396	12357	18770
397	12385	18734
398	12417	18704
399	12445	18668
400	12472	18630
401	12497	18591
402	12521	18549
403	12548	18511
404	12583	18487
405	12613	18454
406	12641	18419
407	12670	18384
408	12700	18351
409	12728	18316
410	12758	18284
411	12789	18252
412	12813	18212
413	12849	18187
414	12884	18161
415	12909	18122
416	12931	18079
417	12954	18036
418	12982	18001
419	13013	17970
420	13041	17936
421	13068	17898
422	13095	17863
423	13122	17827
424	13153	17795
425	13181	17760
426	13209	17726
427	13240	17694
428	13271	17664
429	13293	17621
430	13322	17587
431	13346	17547
432	13373	17512
433	13400	17476
434	13428	17441
435	13453	17403
436	13481	17369
437	13510	17335
438	13539	17301
439	13573	17274
440	13605	17246
441	13634	17212
442	13663	17180
443	13691	17144
444	13720	17112
445	13745	17073
446	13775	17042
447	13804	17009
448	13833	16975
449	13859	16939
450	13889	16907
451	13918	16874
452	13948	16843
453	13974	16806
454	13999	16768
455	14027	16734
456	14049	16693
457	14072	16653
458	14094	16612
459	14116	16571
460	14147	16540
461	14173	16504
462	14202	16472
463	14230	16438
464	14260	16407
465	14286	16371
466	14312	16335
467	14345	16307
468	14379	16279
469	14415	16255
470	14450	16230
471	14487	16206
472	14524	16182
473	14559	16157
474	14589	16125
475	14623	16098
476	14658	16071
477	14692	16044
478	14730	16022
479	14763	15993
480	14805	15975
481	14835	15943
482	14871	15918
483	14906	15892
484	14943	15867
485	14969	15832
486	14997	15797
487	15025	15764
488	15055	15733
489	15091	15707
490	15114	15668
491	15141	15633
492	15170	15600
493	15203	15572
494	15225	15532
495	15255	15501
496	15281	15465
