iter	RMSE
0	55.89038025
1	50.11466789
2	44.95304909
3	40.37950752
4	36.28717229
5	32.66476562
6	29.45461697
7	26.56480738
8	24.04266169
9	21.78948624
10	19.75807313
11	17.96141338
12	16.37160456
13	14.98571812
14	13.72173623
15	12.60383861
16	11.61525766
17	10.74034716
18	9.972301943
19	9.288821559
20	8.681325402
21	8.143407537
22	7.670862619
23	7.267235552
24	6.902210005
25	6.58570686
26	6.298398093
27	6.055094537
28	5.827393786
29	5.644759346
30	5.466792173
31	5.312380746
32	5.189291593
33	5.079708822
34	4.975440491
35	4.884205374
36	4.809089302
37	4.737547777
38	4.669160744
39	4.611616256
40	4.555490781
41	4.511390387
42	4.473280609
43	4.433572963
44	4.403796632
45	4.365753378
46	4.334473738
47	4.31249499
48	4.288143009
49	4.265255336
50	4.246889174
51	4.230800253
52	4.21090579
53	4.196926926
54	4.179348689
55	4.160101596
56	4.142563466
57	4.12537018
58	4.109501074
59	4.098209822
60	4.080362496
61	4.06646654
62	4.054321262
63	4.043610673
64	4.032111337
65	4.02098533
66	4.010713933
67	3.999529372
68	3.988202837
69	3.979457531
70	3.970081303
71	3.960115363
72	3.951369061
73	3.939538352
74	3.932371014
75	3.926326705
76	3.919701424
77	3.913228404
78	3.907055524
79	3.898532813
80	3.891034468
81	3.885603111
82	3.880216577
83	3.875557086
84	3.871245294
85	3.86603788
86	3.860211903
87	3.853056354
88	3.847504702
89	3.843992213
90	3.839950518
91	3.834584337
92	3.829946321
93	3.822169338
94	3.818069404
95	3.814023296
96	3.808609384
97	3.801793921
98	3.795867991
99	3.792572402
100	3.789480786
101	3.786086381
102	3.781931052
103	3.778464894
104	3.775424146
105	3.771509234
106	3.769022518
107	3.764949242
108	3.761349659
109	3.757591134
110	3.753899698
111	3.751994085
112	3.748207963
113	3.744960198
114	3.742036273
115	3.738173484
116	3.734325368
117	3.730962575
118	3.727511901
119	3.725975763
120	3.724379803
121	3.721917498
122	3.71917645
123	3.716538757
124	3.71443589
125	3.711434359
126	3.709601986
127	3.708195451
128	3.703539671
129	3.700913594
130	3.698454753
131	3.696789291
132	3.694130456
133	3.692392762
134	3.690389695
135	3.687210368
136	3.684306291
137	3.68247024
138	3.680066257
139	3.677894366
140	3.675207174
141	3.674297439
142	3.67229755
143	3.669974596
144	3.667400404
145	3.665141355
146	3.663100062
147	3.661339663
148	3.659942336
149	3.657717394
150	3.65599859
151	3.65456302
152	3.652347442
153	3.650863237
154	3.649218545
155	3.647735248
156	3.646490891
157	3.644903896
158	3.643115068
159	3.641204278
160	3.64009213
161	3.637866668
162	3.636140044
163	3.633301468
164	3.631773866
165	3.630640382
166	3.629158338
167	3.628157667
168	3.626519814
169	3.62516526
170	3.62374092
171	3.623046863
172	3.621812721
173	3.620467743
174	3.619043183
175	3.616958419
176	3.615735432
177	3.613807497
178	3.612593968
179	3.611478785
180	3.610393036
181	3.609555352
182	3.608680549
183	3.607660563
184	3.606786045
185	3.605652133
186	3.603847007
187	3.602291768
188	3.600736799
189	3.600104643
190	3.599316408
191	3.598399871
192	3.59789589
193	3.596563042
194	3.595587492
195	3.594375649
196	3.593286451
197	3.592144127
198	3.591137051
199	3.59027259
200	3.589314209
201	3.588153764
202	3.587208427
203	3.585937955
204	3.585302251
205	3.584246235
206	3.583093873
207	3.582008296
208	3.580820705
209	3.579831521
210	3.578424636
211	3.577667523
212	3.576750103
213	3.575727778
214	3.575010775
215	3.574169246
216	3.573574619
217	3.572601916
218	3.571711745
219	3.570606122
220	3.569600139
221	3.568757564
222	3.567932557
223	3.567087965
224	3.56587944
225	3.565061169
226	3.564416567
227	3.563550101
228	3.562831463
229	3.562171589
230	3.561606135
231	3.560851017
232	3.560132634
233	3.558687057
234	3.558174022
235	3.556578687
236	3.555918075
237	3.554750661
238	3.554331596
239	3.553738515
240	3.552974069
241	3.552296715
242	3.551798159
243	3.55072826
244	3.549835076
245	3.549145056
246	3.548598641
247	3.547531398
248	3.54664871
249	3.546135855
250	3.54562716
251	3.545012765
252	3.544110105
253	3.543491264
254	3.543023296
255	3.542108899
256	3.541271193
257	3.540514615
258	3.539792862
259	3.538898486
260	3.537758727
261	3.537126265
262	3.536754439
263	3.536132295
264	3.535353635
265	3.534675837
266	3.533968981
267	3.533424825
268	3.532667315
269	3.532066009
270	3.531524219
271	3.530984912
272	3.530529192
273	3.53000129
274	3.52944027
275	3.528867699
276	3.528232186
277	3.52769403
278	3.527193198
279	3.526822021
280	3.526083872
281	3.525566278
282	3.525191097
283	3.524510666
284	3.523864692
285	3.523299216
286	3.522798263
287	3.522050232
288	3.521793075
289	3.52115856
290	3.520497819
291	3.520114727
292	3.519513732
293	3.518853827
294	3.518332439
295	3.517896854
296	3.517395118
297	3.516815436
298	3.515822794
299	3.51521676
300	3.514668865
301	3.513951617
302	3.513554571
303	3.513003921
304	3.512244332
305	3.511856244
306	3.511345082
307	3.510649048
308	3.51030945
309	3.509748812
310	3.509347738
311	3.508638874
312	3.508018135
313	3.507493983
314	3.506966657
315	3.506526594
316	3.506224228
317	3.505799021
318	3.505195625
319	3.504794131
320	3.504376589
321	3.50403895
322	3.503764247
323	3.502999293
324	3.502334267
325	3.501966804
326	3.501490066
327	3.500947326
